id,ver,o0,o1,o2,name
1,1,0,0,0,"Сельское хозяйство,  охота и предоставление услуг в этих областях"
2,1,1,1,0,Растениеводство
3,1,1,11,0,"Выращивание зерновых, технических и прочих сельскохозяйственных культур, не включенных в другие группировки"
4,1,1,11,1,"Выращивание зерновых и зернобобовых культур"
5,1,1,11,2,"Выращивание картофеля, столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина"
6,1,1,11,3,"Выращивание масличных культур"
7,1,1,11,4,"Выращивание табака и махорки"
8,1,1,11,5,"Выращивание сахарной свеклы"
9,1,1,11,6,"Выращивание кормовых культур; заготовка растительных кормов"
10,1,1,11,7,"Выращивание прядильных культур"
11,1,1,11,8,"Выращивание прочих сельскохозяйственных культур, не включенных в другие группировки"
12,1,1,12,0,"Овощеводство; декоративное садоводство и производство продукции питомников"
13,1,1,12,1,Овощеводство
14,1,1,12,2,"Декоративное садоводство и производство продукции питомников"
15,1,1,12,3,"Выращивание грибов, сбор лесных грибов и трюфелей"
16,1,1,12,31,"Выращивание грибов и грибницы (мицелия)"
17,1,1,12,32,"Сбор лесных грибов и трюфелей"
18,1,1,13,0,"Выращивание фруктов, орехов, культур для производства напитков и пряностей"
19,1,1,13,1,"Выращивание винограда"
20,1,1,13,2,"Выращивание прочих фруктов и орехов"
21,1,1,13,21,"Выращивание плодовых и ягодных культур"
22,1,1,13,22,"Выращивание орехов"
23,1,1,13,23,"Выращивание посадочного материала плодовых насаждений"
24,1,1,13,24,"Сбор дикорастущих плодов, ягод и орехов"
25,1,1,13,3,"Выращивание культур для производства напитков"
26,1,1,13,4,"Выращивание культур для производства пряностей"
27,1,1,2,0,Животноводство
28,1,1,21,0,"Разведение крупного рогатого скота"
29,1,1,22,0,"Разведение овец, коз, лошадей, ослов, мулов и лошаков"
30,1,1,22,1,"Разведение овец и коз"
31,1,1,22,2,"Разведение лошадей, ослов, мулов и лошаков"
32,1,1,23,0,"Разведение свиней"
33,1,1,24,0,"Разведение сельскохозяйственной птицы"
34,1,1,25,0,"Разведение прочих животных"
35,1,1,25,1,"Разведение пчел"
36,1,1,25,2,"Разведение кроликов и пушных зверей в условиях фермы"
37,1,1,25,3,"Разведение шелкопряда"
38,1,1,25,4,"Разведение оленей"
39,1,1,25,5,"Разведение верблюдов"
40,1,1,25,6,"Разведение домашних животных"
41,1,1,25,7,"Разведение лабораторных животных"
42,1,1,25,8,"Разведение водных пресмыкающихся и лягушек в водоемах, разведение дождевых (калифорнийских) червей"
43,1,1,25,81,"Разведение водных пресмыкающихся и лягушек в водоемах"
44,1,1,25,82,"Разведение дождевых (калифорнийских) червей"
45,1,1,25,9,"Разведение прочих животных, не включенных в другие группировки"
46,1,1,3,0,"Растениеводство в сочетании с животноводством (смешанное сельское хозяйство)"
47,1,1,30,0,"Растениеводство в сочетании с животноводством (смешанное сельское хозяйство)"
48,1,1,4,0,"Предоставление услуг в области растениеводства и животноводства, кроме ветеринарных услуг"
49,1,1,41,0,"Предоставление услуг в области растениеводства"
50,1,1,41,1,"Предоставление услуг, связанных с производством сельскохозяйственных культур"
51,1,1,41,2,"Предоставление услуг по закладке, обработке и содержанию садов, парков и других зеленых насаждений"
52,1,1,41,3,"Предоставление услуг по эксплуатации мелиоративных систем"
53,1,1,42,0,"Предоставление услуг в области животноводства, кроме ветеринарных услуг"
54,1,1,5,0,"Охота и разведение диких животных, включая предоставление услуг в этих областях"
55,1,1,50,0,"Охота и разведение диких животных, включая предоставление услуг в этих областях"
56,1,2,0,0,"Лесное хозяйство и предоставление услуг в этой области"
57,1,2,1,0,"Лесоводство и лесозаготовки"
58,1,2,1,1,Лесозаготовки
59,1,2,1,2,"Сбор дикорастущих и недревесных лесопродуктов"
60,1,2,1,5,Лесоводство
61,1,2,1,6,"Деятельность лесопитомников"
62,1,2,1,61,"Выращивание сеянцев, деревьев и кустарников"
63,1,2,1,69,"Выращивание прочей продукции питомников"
64,1,2,2,0,"Предоставление услуг в области лесоводства и лесозаготовок"
65,1,2,2,1,"Предоставление услуг в области лесоводства"
66,1,2,2,2,"Предоставление услуг в области лесозаготовок"
67,1,5,0,0,"Рыболовство, рыбоводство и предоставление услуг в этих областях"
68,1,5,1,0,Рыболовство
69,1,5,1,1,"Рыболовство в открытых районах Мирового океана и внутренних морских водах"
70,1,5,1,11,"Вылов рыбы и водных биоресурсов в открытых районах Мирового океана и внутренних морских водах сельскохозяйственными товаропроизводителями"
71,1,5,1,12,"Вылов рыбы и водных биоресурсов в открытых районах Мирового океана и внутренних морских водах несельскохозяйственными товаропроизводителями"
72,1,5,1,2,"Рыболовство в реках, озерах, водохранилищах и прудах"
73,1,5,1,21,"Вылов рыбы и водных биоресурсов в реках, озерах, водохранилищах и прудах сельскохозяйственными товаропроизводителями"
74,1,5,1,22,"Вылов рыбы и водных биоресурсов в реках, озерах, водохранилищах и прудах несельскохозяйственными товаропроизводителями"
75,1,5,1,3,"Предоставление услуг в области рыболовства"
76,1,5,2,0,Рыбоводство
77,1,5,2,1,"Воспроизводство рыбы и водных биоресурсов"
78,1,5,2,11,"Воспроизводство рыбы и водных биоресурсов сельскохозяйственными товаропроизводителями"
79,1,5,2,12,"Воспроизводство рыбы и водных биоресурсов несельскохозяйственными товаропроизводителями"
80,1,5,2,2,"Предоставление услуг, связанных с воспроизводством рыбы и водных биоресурсов"
81,1,10,0,0,"Добыча каменного угля, бурого угля и торфа"
82,1,10,1,0,"Добыча, обогащение и агломерация каменного угля"
83,1,10,10,0,"Добыча, обогащение и агломерация каменного угля"
84,1,10,10,1,"Добыча каменного угля"
85,1,10,10,11,"Добыча каменного угля открытым способом"
86,1,10,10,12,"Добыча каменного угля подземным способом"
87,1,10,10,2,"Обогащение и агломерация каменного угля"
88,1,10,10,21,"Обогащение каменного угля"
89,1,10,10,22,"Агломерация каменного угля"
90,1,10,2,0,"Добыча, обогащение и агломерация бурого угля"
91,1,10,20,0,"Добыча, обогащение и агломерация бурого угля"
92,1,10,20,1,"Добыча бурого угля (лигнита)"
93,1,10,20,11,"Добыча бурого угля открытым способом"
94,1,10,20,12,"Добыча бурого угля подземным способом"
95,1,10,20,2,"Обогащение и агломерация бурого угля"
96,1,10,20,21,"Обогащение бурого угля"
97,1,10,20,22,"Агломерация бурого угля"
98,1,10,3,0,"Добыча и агломерация торфа"
99,1,10,30,0,"Добыча и агломерация торфа"
100,1,10,30,1,"Добыча торфа"
101,1,10,30,2,"Агломерация торфа"
